브랜드코드,브랜드명,점포번호,점포명,사업자번호,MENU_CD,MENU_FULL_NM,MENU_NM,판매가격
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000021,초코연유크림스무디,초코연유크림스무디,"4,800"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000022,딸기요거트스무디,딸기요거트스무디,"4,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000023,망고요거트스무디,망고요거트스무디,"4,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000024,블루베리요거트스무디,블루베리요거트스무디,"4,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000025,복숭아자두요거트스무디,복숭아자두요거트스무디,"4,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000026,플레인요거트스무디,플레인요거트스무디,"4,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000123,플레인요거트스무디,플레인요거트스무디,"4,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000152,생딸기라떼,생딸기라떼,"6,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000010,리얼초코,리얼초코,"5,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000011,말차(녹차)라떼,말차(녹차)라떼,"5,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000027,허니레몬티,허니레몬티,"3,800"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000028,허니자몽티,허니자몽티,"3,800"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000029,히비스커스,히비스커스,"3,800"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000030,복숭아이스티,복숭아이스티,"3,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000031,아일리스 애플티,아일리스 애플티,"3,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000032,잉글리쉬블랙퍼스트,잉글리쉬블랙퍼스트,"3,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000033,캐모마일,캐모마일,"3,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000034,페퍼민트,페퍼민트,"3,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000035,유자애플티,유자애플티,"3,800"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000036,오렌지한라봉에이드,오렌지한라봉에이드,"3,800"
