브랜드코드,브랜드명,점포번호,점포명,사업자번호,MENU_CD,MENU_FULL_NM,MENU_NM,판매가격
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000001,특선세트10P(1인분),특선세트10P(1인분),"10,900"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000002,초밥세트12P(1인분),초밥세트12P(1인분),"12,900"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000003,초밥세트26P(2인분),초밥세트26P(2인분),"20,900"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000004,연어세트12P(1인분),연어세트12P(1인분),"16,900"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000005,스시앤롤세트22P(2인분),스시앤롤세트22P(2인분),"24,900"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000352,호온세트,호온세트,"10,900"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000006,간장새우초밥4p,간장새우초밥4p,"6,400"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000007,구운소고기초밥4p,구운소고기초밥4p,"6,400"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000008,생연어초밥4p,생연어초밥4p,"6,600"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000009,구운연어초밥4p,구운연어초밥4p,"6,600"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000010,광어초밥4p,광어초밥4p,"5,900"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000011,구운장어초밥4p,구운장어초밥4p,"5,900"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000012,초새우초밥4p,초새우초밥4p,"3,700"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000013,구운계란초밥4p,구운계란초밥4p,"3,700"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000014,구운유부초밥4p,구운유부초밥4p,"3,700"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000015,구운새우초밥4p,구운새우초밥4p,"4,400"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000016,관자초밥 4p,관자초밥 4p,"5,900"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000389,한치 4p,한치 4p,"3,400"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000390,구운게살 4p,구운게살 4p,"3,400"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000413,한치 4p,한치 4p,"3,700"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000414,구운게살 4p,구운게살 4p,"3,700"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000017,캘리포니아롤9p,캘리포니아롤9p,"8,900"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000018,연어아보카도롤9p,연어아보카도롤9p,"10,900"
onsushi,호주에서온스시,1002,호주에서온스시(연산),382-07-02156,B0000019,치킨카츠아보카도롤9p,치킨카츠아보카도롤9p,"8,900"
