affiliate_id,매장명,메뉴코드,카테고리명,메뉴명,가격
bebeco_ar,배배꼬_세종아름점,"1,657,077",음료,허니자몽블랙티,"3,800"
ogasalad_jhs,오가샐러드_중화산점,"1,671,760",에이드&주스&스무디,테스트계정입니다,500
ogasalad_jhs,오가샐러드_중화산점,"1,671,761",테스트계정,결제시매출정산에문제발생!,"1,200"
ogasalad_jhs,오가샐러드_중화산점,"1,671,762",테스트계정,영업전우노스에꼭연락주세요,"1,500"
ogasalad_jhs,오가샐러드_중화산점,"1,671,763",테스트계정,1800-4520에2번,"2,000"
ogasalad_jhs,오가샐러드_중화산점,"1,671,764",테스트계정,테스트결제는가능합니다,100
ogasalad_jhs,오가샐러드_중화산점,"1,671,765",에이드&주스&스무디,(ICE)레몬에이드,"5,000"
ogasalad_jhs,오가샐러드_중화산점,"1,671,766",에이드&주스&스무디,된장스무디,"80,000"
ogasalad_jhs,오가샐러드_중화산점,"1,671,768",에이드&주스&스무디,테스트계정입니다,500
ogasalad_jhs,오가샐러드_중화산점,"1,671,769",테스트계정,결제시매출정산에문제발생!,"1,200"
ogasalad_jhs,오가샐러드_중화산점,"1,671,770",테스트계정,영업전우노스에꼭연락주세요,"1,500"
ogasalad_jhs,오가샐러드_중화산점,"1,671,771",테스트계정,1800-4520에2번,"2,000"
ogasalad_jhs,오가샐러드_중화산점,"1,671,772",테스트계정,테스트결제는가능합니다,100
ogasalad_jhs,오가샐러드_중화산점,"1,671,773",에이드&주스&스무디,(ICE)레몬에이드,"5,000"
ogasalad_jhs,오가샐러드_중화산점,"1,671,774",에이드&주스&스무디,된장스무디,"80,000"
ogasalad_jhs,오가샐러드_중화산점,"1,673,323",DEFAULT,테스트,"1,000"
